run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,path_max_residual_claimed_diff,fairness_gap_nav_per_deposit,reserve_required,releasable_pool,total_residual_claimed,divergence_max_quote_diff_vs_reference,divergence_max_nav_per_deposit_diff_vs_reference,invariant_failures
deterministic,neutral_late_lp,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.0470680149814667404981278349,0,174.8128461734194530408298682,174.8128461734194530408298681,,,0
deterministic,neutral_late_lp,fpmm_pool_share,True,1.692294275245178550119679541E-29,True,True,1,0,0,0,0.0122178907808158000457067341,0,0E-26,174.8614288768697055806561550,,,0
deterministic,skewed_late_lp,reference_parallel_lmsr_reserve_residual,True,2.373209603267881507115591096E-29,True,True,1,0,0,0,-0.0351963076510826568165816443,0,172.3073872222507602353057863,172.3073872222507602353057863,,,0
deterministic,skewed_late_lp,fpmm_pool_share,True,3.456890584456932812948175535E-29,True,True,1,0,0,0,0.1169883457462921545964852925,0,0E-26,172.2354744496856093976970547,,,0
deterministic,long_tail_late_lp,reference_parallel_lmsr_reserve_residual,True,3.374692031740994479984785479E-29,True,True,1,0,0,0,-0.0588875984903516459497794371,0,430.9587163292799935179050882,430.9587163292799935179050881,,,0
deterministic,long_tail_late_lp,fpmm_pool_share,True,9.758383131931493620200187412E-30,True,True,1,0,0,0,0.0211478828892977209702176569,0,0E-25,430.9697253650621928666876087,,,0
deterministic,early_vs_late_same_delta_b,reference_parallel_lmsr_reserve_residual,True,2.624120992910607646011639570E-29,True,True,1,0,0,0,0.0128241316879214921421904096,0,189.7335490524779885235554999,189.7335490524779885235554999,,,0
deterministic,early_vs_late_same_delta_b,fpmm_pool_share,True,1.890404741403200988560668547E-29,True,True,1,0,0,0,0.0244908281136928210792287231,0,0E-26,189.7777839418413570380167781,,,0
deterministic,same_final_claims_different_timing,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,2,0,0.00003325045902808599741442,40.60509975337834733106223485,0.0822423049757168874217251191,0,163.7003719768995612387760522,163.7003719768995612387760522,,,0
deterministic,same_final_claims_different_timing,fpmm_pool_share,True,4.858134865671897509799920386E-29,True,True,2,0,0.00000437012503787911995353019,39.53838074627350356819659258,0.0404647570651096878965933033,0,0E-26,163.7336944807729178487035120,,,0
deterministic,repeated_lp_entries,reference_parallel_lmsr_reserve_residual,True,3.709404702152548257295422586E-29,True,True,1,0,0,0,-0.0356506282942241531215290594,0,212.3419422003601733705637674,212.3419422003601733705637673,,,0
deterministic,repeated_lp_entries,fpmm_pool_share,True,7.683588457703440414453106630E-29,True,True,1,0,0,0,0.0086965445682477272339754447,0,0E-26,212.3938928967769074513196199,,,0
deterministic,zero_flow_nav_invariance,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,1,0,0,0,0.0000857418094000871563931488,0,0,0,,,0
deterministic,zero_flow_nav_invariance,fpmm_pool_share,True,4.562036783331416711580652279E-29,True,True,1,0,0,0,0.0000358857574007561171051603,0,168.3764761506005102285955245,0,,,0
deterministic,same_block_trade_reordering,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,2,0,0.00002464681597011885414901,35.19147040061092357265428170,0.0755986505535344705159953131,0,159.8811839265850595564737302,159.8811839265850595564737301,,,0
deterministic,same_block_trade_reordering,fpmm_pool_share,True,9.835305542738914098283329197E-29,True,True,2,0,0.00000330402255695145154764687,0.2731891066168346273423582,0.0202919169683068838747525416,0,0E-26,159.9101710882261330999807160,,,0
adversarial,fpmm_compare_adv_0000,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,1,0,0,0,0.0860420004838025632165175557,0,148.2817897446481088350490443,148.2817897446481088350490443,,,0
adversarial,fpmm_compare_adv_0000,fpmm_pool_share,True,5.607145831877719304664929171E-29,True,True,1,0,0,0,0.0304040971776537297542500452,0,0E-26,148.2932137355096015003246702,,,0
adversarial,fpmm_compare_adv_0001,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,1,0,0,0,0.089529918114934902159987604,0,154.2817897446481088350490443,154.2817897446481088350490443,,,0
adversarial,fpmm_compare_adv_0001,fpmm_pool_share,True,5.607145831877719304664929171E-29,True,True,1,0,0,0,-0.015799069482302607099181522,0,0E-26,154.2932137355096015003246702,,,0
adversarial,fpmm_compare_adv_0006,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.0509727589591405724899729324,0,148.8726464291080222059192626,148.8726464291080222059192626,,,0
adversarial,fpmm_compare_adv_0006,fpmm_pool_share,True,4.349817810077553722462466363E-30,True,True,1,0,0,0,0.0265608815961171692089427734,0,0E-26,148.8907745478046670309568192,,,0
adversarial,fpmm_compare_adv_0007,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.0525194167357253440474987482,0.00,153.3726464291080222059192625,153.3726464291080222059192625,,,0
adversarial,fpmm_compare_adv_0007,fpmm_pool_share,True,4.349817810077553722462466363E-30,True,True,1,0,0,0,-0.0080914933988500834311309022,0,0E-26,153.3907745478046670309568192,,,0
adversarial,fpmm_compare_adv_0014,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,1,0,0,0,0.0834955651975801316844874107,0,140.5806206373584448131647886,140.5806206373584448131647886,,,0
adversarial,fpmm_compare_adv_0014,fpmm_pool_share,True,5.607145831877719304664929171E-29,True,True,1,0,0,0,0.0311869378603941933385449469,0,0E-26,140.5716260992796307906363259,,,0
adversarial,fpmm_compare_adv_0015,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,1,0,0,0,0.094200819047031423425068466,0,158.5806206373584448131647886,158.5806206373584448131647886,,,0
adversarial,fpmm_compare_adv_0015,fpmm_pool_share,True,5.607145831877719304664929171E-29,True,True,1,0,0,0,-0.016232829404962017332611913,0,0E-26,158.5716260992796307906363259,,,0
adversarial,fpmm_compare_adv_0016,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,1,0,0,0,0.0904834621100384031935567494,0,152.3344549465230587714174597,152.3344549465230587714174597,,,0
adversarial,fpmm_compare_adv_0016,fpmm_pool_share,True,5.607145831877719304664929171E-29,True,True,1,0,0,0,0.0299900524339972071218200301,0,0E-26,152.3771644600328780784610769,,,0
adversarial,fpmm_compare_adv_0017,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,1,0,0,0,0.0869150441602213059466963972,0,146.3344549465230587714174598,146.3344549465230587714174598,,,0
adversarial,fpmm_compare_adv_0017,fpmm_pool_share,True,5.607145831877719304664929171E-29,True,True,1,0,0,0,-0.0149965136205592559138862433,0,0E-26,146.3771644600328780784610769,,,0
adversarial,fpmm_compare_adv_0020,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.0510534613361227392607179738,0,141.1507346699166641817227760,141.1507346699166641817227760,,,0
adversarial,fpmm_compare_adv_0020,fpmm_pool_share,True,4.349817810077553722462466363E-30,True,True,1,0,0,0,0.0275325023074465460205237105,0,0E-26,141.1526734376046429710339041,,,0
adversarial,fpmm_compare_adv_0021,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.057039233087838521601758839,0.00,157.6507346699166641817227760,157.6507346699166641817227760,,,0
adversarial,fpmm_compare_adv_0021,fpmm_pool_share,True,4.349817810077553722462466363E-30,True,True,1,0,0,0,-0.008626631047214863396281773,0,0E-26,157.6526734376046429710339042,,,0
adversarial,fpmm_compare_adv_0022,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.0553377643817301667467268028,0,152.9656614131977569474722358,152.9656614131977569474722358,,,0
adversarial,fpmm_compare_adv_0022,fpmm_pool_share,True,4.349817810077553722462466363E-30,True,True,1,0,0,0,0.026044124480183704940097821,0,0E-26,153.0062887251809739708128730,,,0
adversarial,fpmm_compare_adv_0023,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.0526169590400411747735264090,0.00,145.4656614131977569474722358,145.4656614131977569474722358,,,0
adversarial,fpmm_compare_adv_0023,fpmm_pool_share,True,4.349817810077553722462466363E-30,True,True,1,0,0,0,-0.0071014921550893909232440449,0,0E-26,145.5062887251809739708128729,,,0
adversarial,fpmm_compare_adv_0024,reference_parallel_lmsr_reserve_residual,True,1.726236382983195709702754400E-28,True,True,1,0,0,0,0.0379900849788177726787381020,0,140.3780284647955202734089946,140.3780284647955202734089946,,,0
adversarial,fpmm_compare_adv_0024,fpmm_pool_share,True,3.235528482833867517121066779E-29,True,True,1,0,0,0,0.0994008192899352148239873176,0,0E-26,140.3492544009180936456344051,,,0
adversarial,fpmm_compare_adv_0025,reference_parallel_lmsr_reserve_residual,True,1.726236382983195709702754400E-28,True,True,1,0,0,0,0.043480744523975360357921530,0,160.3780284647955202734089946,160.3780284647955202734089946,,,0
adversarial,fpmm_compare_adv_0025,fpmm_pool_share,True,3.235528482833867517121066779E-29,True,True,1,0,0,0,-0.054609736243252574687451240,0,0E-26,160.3492544009180936456344051,,,0
adversarial,fpmm_compare_adv_0030,reference_parallel_lmsr_reserve_residual,True,2.339249273041892416921891970E-29,True,True,1,0,0,0,-0.0025157345647623716712945463,0,142.2728811959374344933660815,142.2728811959374344933660815,,,0
adversarial,fpmm_compare_adv_0030,fpmm_pool_share,True,6.374558085569036933967843391E-29,True,True,1,0,0,0,0.0869769375514858135537402411,0,0E-26,142.2784437392927170506264644,,,0
adversarial,fpmm_compare_adv_0031,reference_parallel_lmsr_reserve_residual,True,2.339249273041892416921891970E-29,True,True,1,0,0,0,-0.002710342284233461704311113,0.00,157.2728811959374344933660815,157.2728811959374344933660815,,,0
adversarial,fpmm_compare_adv_0031,fpmm_pool_share,True,6.374558085569036933967843391E-29,True,True,1,0,0,0,-0.0285309790984050285798386772,0,0E-26,157.2784437392927170506264644,,,0
adversarial,fpmm_compare_adv_0038,reference_parallel_lmsr_reserve_residual,True,1.726236382983195709702754400E-28,True,True,1,0,0,0,0.0377362210272832135519698789,0,133.0701837547833302982396793,133.0701837547833302982396792,,,0
adversarial,fpmm_compare_adv_0038,fpmm_pool_share,True,3.235528482833867517121066779E-29,True,True,1,0,0,0,0.1018983956124905909563151982,0,0E-26,132.9447015525772900184294114,,,0
adversarial,fpmm_compare_adv_0039,reference_parallel_lmsr_reserve_residual,True,1.726236382983195709702754400E-28,True,True,1,0,0,0,0.046934707363158672377700405,0,165.0701837547833302982396792,165.0701837547833302982396792,,,0
adversarial,fpmm_compare_adv_0039,fpmm_pool_share,True,3.235528482833867517121066779E-29,True,True,1,0,0,0,-0.056159793381424044787894356,0,0E-26,164.9447015525772900184294115,,,0
adversarial,fpmm_compare_adv_0040,reference_parallel_lmsr_reserve_residual,True,1.726236382983195709702754400E-28,True,True,1,0,0,0,0.0409391296007133950078507146,0,144.2331417875092955262269488,144.2331417875092955262269488,,,0
adversarial,fpmm_compare_adv_0040,fpmm_pool_share,True,3.235528482833867517121066779E-29,True,True,1,0,0,0,0.0980768497875374270303082399,0,0E-26,144.2744205956654958134425334,,,0
adversarial,fpmm_compare_adv_0041,reference_parallel_lmsr_reserve_residual,True,1.726236382983195709702754400E-28,True,True,1,0,0,0,0.0432387511846822597142833458,0,152.2331417875092955262269488,152.2331417875092955262269488,,,0
adversarial,fpmm_compare_adv_0041,fpmm_pool_share,True,3.235528482833867517121066779E-29,True,True,1,0,0,0,-0.0518860722849235162483593205,0,0E-26,152.2744205956654958134425334,,,0
adversarial,fpmm_compare_adv_0044,reference_parallel_lmsr_reserve_residual,True,2.339249273041892416921891970E-29,True,True,1,0,0,0,0.0000669179143348042094906433,0,134.8929241327522694572712648,134.8929241327522694572712647,,,0
adversarial,fpmm_compare_adv_0044,fpmm_pool_share,True,6.374558085569036933967843391E-29,True,True,1,0,0,0,0.0900307580849686752413782258,0,0E-26,134.8147489659016599435863497,,,0
adversarial,fpmm_compare_adv_0045,reference_parallel_lmsr_reserve_residual,True,2.339249273041892416921891970E-29,True,True,1,0,0,0,0.000208743948813128465843526,0.00,161.8929241327522694572712647,161.8929241327522694572712647,,,0
adversarial,fpmm_compare_adv_0045,fpmm_pool_share,True,6.374558085569036933967843391E-29,True,True,1,0,0,0,-0.030387038659756840371399240,0,0E-26,161.8147489659016599435863498,,,0
adversarial,fpmm_compare_adv_0046,reference_parallel_lmsr_reserve_residual,True,2.339249273041892416921891970E-29,True,True,1,0,0,0,0.0001227553252961026738439404,0,146.2599532524631467020791434,146.2599532524631467020791434,,,0
adversarial,fpmm_compare_adv_0046,fpmm_pool_share,True,6.374558085569036933967843391E-29,True,True,1,0,0,0,0.0853290260785484354867311021,0,0E-26,146.3060243101608947768971549,,,0
adversarial,fpmm_compare_adv_0047,reference_parallel_lmsr_reserve_residual,True,2.339249273041892416921891970E-29,True,True,1,0,0,0,0.0001385137735714720356609272,0.00,149.2599532524631467020791434,149.2599532524631467020791434,,,0
adversarial,fpmm_compare_adv_0047,fpmm_pool_share,True,6.374558085569036933967843391E-29,True,True,1,0,0,0,-0.0252690104765077331676492670,0,0E-26,149.3060243101608947768971550,,,0
high_skew,fpmm_compare_high_skew_0000,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,1,0,0,0,-0.0066891344099499313920914506,0,307.4800095502305681448137863,307.4800095502305681448137863,,,0
high_skew,fpmm_compare_high_skew_0000,fpmm_pool_share,True,6.861820119868955465962436455E-30,True,True,1,0,0,0,0.1566551513097799789685342160,0,0E-26,306.9384068759280391392083819,,,0
high_skew,fpmm_compare_high_skew_0001,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,1,0,0,0,-0.0221230804759800646061273632,0,264.9516373839054250053717382,264.9516373839054250053717382,,,0
high_skew,fpmm_compare_high_skew_0001,fpmm_pool_share,True,9.438035652551723592296478179E-30,True,True,1,0,0,0,0.3109833968032384439573743934,0,0E-26,262.3082379738498177313393200,,,0
high_skew,fpmm_compare_high_skew_0002,reference_parallel_lmsr_reserve_residual,True,7.419422762462116291367197871E-29,True,True,1,0,0,0,-0.0747213061776223348545992667,0,166.3087794056605849667727733,166.3087794056605849667727733,,,0
high_skew,fpmm_compare_high_skew_0002,fpmm_pool_share,True,1.514200486561017581577335933E-29,True,True,1,0,0,0,0.7445299999541575936874539055,0,0E-26,141.9921873349635174403577393,,,0
high_skew,fpmm_compare_high_skew_0003,reference_parallel_lmsr_reserve_residual,True,0E-80,True,True,1,0,0,0,-0.1763433036991518046244898324,0,131.5538054696152494756991040,131.5538054696152494756991040,,,0
high_skew,fpmm_compare_high_skew_0003,fpmm_pool_share,True,1.303926912844162771757250317E-30,True,True,1,0,0,0,0.9926809593188826047210197254,0,0E-29,104.1012840235662485323545551,,,0
high_skew,fpmm_compare_high_skew_0004,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,-0.0068864493663323281572896644,0,391.8500119377882101810172329,391.8500119377882101810172329,,,0
high_skew,fpmm_compare_high_skew_0004,fpmm_pool_share,True,1.408005212182692336965155870E-29,True,True,1,0,0,0,0.1566551513097799789685342163,0,0E-25,391.3084092634856811754118285,,,0
high_skew,fpmm_compare_high_skew_0005,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,1,0,0,0,-0.0236781404862025399344941312,0,351.1895467298817812567146727,351.1895467298817812567146727,,,0
high_skew,fpmm_compare_high_skew_0005,fpmm_pool_share,True,2.821369465899365523254816260E-29,True,True,1,0,0,0,0.3109833968032384439573743934,0,0E-26,348.5461473198261739826822545,,,0
high_skew,fpmm_compare_high_skew_0006,reference_parallel_lmsr_reserve_residual,True,3.297521227760940573940976832E-29,True,True,1,0,0,0,-0.0958624509618428799623167415,0,265.3859742570757312084659667,265.3859742570757312084659667,,,0
high_skew,fpmm_compare_high_skew_0006,fpmm_pool_share,True,5.089994563585605489744302898E-30,True,True,1,0,0,0,0.7445299999541575936874539053,0,0E-26,241.0693821863786636820509326,,,0
high_skew,fpmm_compare_high_skew_0007,reference_parallel_lmsr_reserve_residual,True,1.9E-79,True,True,1,0,0,0,-0.3023503681361490002940297838,0,284.4422568370190618446238800,284.4422568370190618446238800,,,0
high_skew,fpmm_compare_high_skew_0007,fpmm_pool_share,True,6.275305711856023854047221962E-31,True,True,1,0,0,0,0.9926809593188826047210197243,0,0E-29,256.9897353909700609012793310,,,0
high_skew,fpmm_compare_high_skew_0008,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,1,0,0,0,-0.0112603206315048076429010895,0,388.2966828238771762688406943,388.2966828238771762688406943,,,0
high_skew,fpmm_compare_high_skew_0008,fpmm_pool_share,True,8.353865974462831061075334057E-31,True,True,1,0,0,0,0.1317813993305021878729998474,0,0E-26,387.9821233992512123635192215,,,0
high_skew,fpmm_compare_high_skew_0009,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,1,0,0,0,-0.0171268389716577758799142236,0,342.1648213307845935701896815,342.1648213307845935701896814,,,0
high_skew,fpmm_compare_high_skew_0009,fpmm_pool_share,True,7.057800557111071365735600285E-30,True,True,1,0,0,0,0.2628077326380729513499073781,0,0E-26,340.5960197286258692607832945,,,0
high_skew,fpmm_compare_high_skew_0010,reference_parallel_lmsr_reserve_residual,True,6.075803383539105863143535612E-29,True,True,1,0,0,0,-0.0445825084955302624693123257,0,221.8522216876129193824558874,221.8522216876129193824558874,,,0
high_skew,fpmm_compare_high_skew_0010,fpmm_pool_share,True,1.002912449080147216728817943E-29,True,True,1,0,0,0,0.6474124101302304255200917914,0,0E-26,204.5580023213261021734337806,,,0
high_skew,fpmm_compare_high_skew_0011,reference_parallel_lmsr_reserve_residual,True,8E-80,True,True,1,0,0,0,-0.1151197169354772419883068949,0,142.7629557074624767842203687,142.7629557074624767842203687,,,0
high_skew,fpmm_compare_high_skew_0011,fpmm_pool_share,True,8.459848191988175014118123089E-32,True,True,1,0,0,0,0.9962473197442573067850386437,0,0E-30,105.1694594257641111522533106,,,0
