run_family,scenario_name,active_lp_fairness_gap_nav_per_deposit,fpmm_fairness_gap_nav_per_deposit,fpmm_minus_active_lp_gap,active_lp_max_price_change,fpmm_max_price_change,active_lp_slippage_pass,fpmm_slippage_pass,active_lp_solvency_pass,fpmm_solvency_pass
adversarial,fpmm_compare_adv_0000,0.0087205131247954284522138122,0.0304040971776537297542500452,0.0216835840528583013020362330,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0001,0.009079732856118480401064130,-0.015799069482302607099181522,-0.024878802338421087500245652,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0006,0.0044007581589866081797948370,0.0265608815961171692089427734,0.0221601234371305610291479364,2E-80,4.349817810077553722462466363E-30,True,True,True,True
adversarial,fpmm_compare_adv_0007,0.004539675772233245462969562,-0.0080914933988500834311309022,-0.0126311691710833288941004642,2E-80,4.349817810077553722462466363E-30,True,True,True,True
adversarial,fpmm_compare_adv_0014,0.0544289307071067718135991447,0.0311869378603941933385449469,-0.0232419928467125784750541978,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0015,0.061412480822028644254557175,-0.016232829404962017332611913,-0.077645310226990661587169088,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0016,0.0589865893393729343828384559,0.0299900524339972071218200301,-0.0289965369053757272610184258,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0017,0.0566587393010656435691857792,-0.0149965136205592559138862433,-0.0716552529216248994830720225,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0020,0.0388731771889036318494001454,0.0275325023074465460205237105,-0.0113406748814570858288764349,2E-80,4.349817810077553722462466363E-30,True,True,True,True
adversarial,fpmm_compare_adv_0021,0.043435118672225148181713841,-0.008626631047214863396281773,-0.052061749719440011577995614,2E-80,4.349817810077553722462466363E-30,True,True,True,True
adversarial,fpmm_compare_adv_0022,0.0421379377911204830007139892,0.026044124480183704940097821,-0.0160938133109367780606161682,2E-80,4.349817810077553722462466363E-30,True,True,True,True
adversarial,fpmm_compare_adv_0023,0.0400643280259743392132986726,-0.0071014921550893909232440449,-0.0471658201810637301365427175,2E-80,4.349817810077553722462466363E-30,True,True,True,True
adversarial,fpmm_compare_adv_0024,-0.0324984194429297229864053074,0.0994008192899352148239873176,0.1318992387328649378103926250,1.726236382983195709702754400E-28,3.235528482833867517121066779E-29,True,True,True,True
adversarial,fpmm_compare_adv_0025,-0.037050428995297584982186968,-0.054609736243252574687451240,-0.017559307247954989705264272,1.726236382983195709702754400E-28,3.235528482833867517121066779E-29,True,True,True,True
adversarial,fpmm_compare_adv_0030,-0.0450496963841609954112728778,0.0869769375514858135537402411,0.1320266339356468089650131189,2.339249273041892416921891970E-29,6.374558085569036933967843391E-29,True,True,True,True
adversarial,fpmm_compare_adv_0031,-0.0497287105620372980259779805,-0.0285309790984050285798386772,0.0211977314636322694461393033,2.339249273041892416921891970E-29,6.374558085569036933967843391E-29,True,True,True,True
adversarial,fpmm_compare_adv_0038,0.0112416539885985568271736626,0.1018983956124905909563151982,0.0906567416238920341291415356,1.726236382983195709702754400E-28,3.235528482833867517121066779E-29,True,True,True,True
adversarial,fpmm_compare_adv_0039,0.014068869756453678612923326,-0.056159793381424044787894356,-0.070228663137877723400817682,1.726236382983195709702754400E-28,3.235528482833867517121066779E-29,True,True,True,True
adversarial,fpmm_compare_adv_0040,0.0122219930005927025146081560,0.0980768497875374270303082399,0.0858548567869447245157000839,1.726236382983195709702754400E-28,3.235528482833867517121066779E-29,True,True,True,True
adversarial,fpmm_compare_adv_0041,0.0129287969425564829610455714,-0.0518860722849235162483593205,-0.0648148692274799992094048919,1.726236382983195709702754400E-28,3.235528482833867517121066779E-29,True,True,True,True
adversarial,fpmm_compare_adv_0044,-0.0110572406011133478308635096,0.0900307580849686752413782258,0.1010879986860820230722417354,2.339249273041892416921891970E-29,6.374558085569036933967843391E-29,True,True,True,True
adversarial,fpmm_compare_adv_0045,-0.013142012305902015830037976,-0.030387038659756840371399240,-0.017245026353854824541361264,2.339249273041892416921891970E-29,6.374558085569036933967843391E-29,True,True,True,True
adversarial,fpmm_compare_adv_0046,-0.0119388032397865052313365987,0.0853290260785484354867311021,0.0972678293183349407180677008,2.339249273041892416921891970E-29,6.374558085569036933967843391E-29,True,True,True,True
adversarial,fpmm_compare_adv_0047,-0.0121704445403185794534670949,-0.0252690104765077331676492670,-0.0130985659361891537141821721,2.339249273041892416921891970E-29,6.374558085569036933967843391E-29,True,True,True,True
deterministic,early_vs_late_same_delta_b,0.0207941330302596003780493130,0.0244908281136928210792287231,0.0036966950834332207011794101,2.624120992910607646011639570E-29,1.890404741403200988560668547E-29,True,True,True,True
deterministic,long_tail_late_lp,-0.0508155055261240650762526190,0.0211478828892977209702176569,0.0719633884154217860464702759,3.374692031740994479984785479E-29,9.758383131931493620200187412E-30,True,True,True,True
deterministic,neutral_late_lp,0.0341325008412816612351557158,0.0122178907808158000457067341,-0.0219146100604658611894489817,2E-80,1.692294275245178550119679541E-29,True,True,True,True
deterministic,repeated_lp_entries,0.0168129393274431121953169055,0.0086965445682477272339754447,-0.0081163947591953849613414608,3.709404702152548257295422586E-29,7.683588457703440414453106630E-29,True,True,True,True
deterministic,same_block_trade_reordering,0.0453557805739656375308176905,0.0202919169683068838747525416,-0.0250638636056587536560651489,2E-80,9.835305542738914098283329197E-29,True,True,True,True
deterministic,same_final_claims_different_timing,0.0739799545907550021480399660,0.0404647570651096878965933033,-0.0335151975256453142514466627,1E-80,4.858134865671897509799920386E-29,True,True,True,True
deterministic,skewed_late_lp,-0.0276783444371876104366486003,0.1169883457462921545964852925,0.1446666901834797650331338928,2.373209603267881507115591096E-29,3.456890584456932812948175535E-29,True,True,True,True
deterministic,zero_flow_nav_invariance,0.0000857418094000871563931488,0.0000358857574007561171051603,-0.0000498560519993310392879885,1E-80,4.562036783331416711580652279E-29,True,True,True,True
high_skew,fpmm_compare_high_skew_0000,-0.0714043064437861935420159911,0.1566551513097799789685342160,0.2280594577535661725105502071,1E-80,6.861820119868955465962436455E-30,True,True,True,True
high_skew,fpmm_compare_high_skew_0001,-0.0768716588947094307769136474,0.3109833968032384439573743934,0.3878550556979478747342880408,1E-80,9.438035652551723592296478179E-30,True,True,True,True
high_skew,fpmm_compare_high_skew_0002,-0.1053550649128290322877925213,0.7445299999541575936874539055,0.8498850648669866259752464268,7.419422762462116291367197871E-29,1.514200486561017581577335933E-29,True,True,True,True
high_skew,fpmm_compare_high_skew_0003,-0.1935970525146330416798639513,0.9926809593188826047210197254,1.186278011833515646400883677,0E-80,1.303926912844162771757250317E-30,True,True,True,True
high_skew,fpmm_compare_high_skew_0004,-0.0744464368203481323249707361,0.1566551513097799789685342163,0.2311015881301281112935049524,2E-80,1.408005212182692336965155870E-29,True,True,True,True
high_skew,fpmm_compare_high_skew_0005,-0.0833374072762309303625780168,0.3109833968032384439573743934,0.3943208040794693743199524102,1E-80,2.821369465899365523254816260E-29,True,True,True,True
high_skew,fpmm_compare_high_skew_0006,-0.1370074869530081975177940629,0.7445299999541575936874539053,0.8815374869071657912052479682,3.297521227760940573940976832E-29,5.089994563585605489744302898E-30,True,True,True,True
high_skew,fpmm_compare_high_skew_0007,-0.3364714645046705262225710062,0.9926809593188826047210197243,1.329152423823553130943590730,1.9E-79,6.275305711856023854047221962E-31,True,True,True,True
high_skew,fpmm_compare_high_skew_0008,-0.0772489227973714101395566937,0.1317813993305021878729998474,0.2090303221278735980125565411,1E-80,8.353865974462831061075334057E-31,True,True,True,True
high_skew,fpmm_compare_high_skew_0009,-0.0748279602243840663365154739,0.2628077326380729513499073781,0.3376356928624570176864228520,1E-80,7.057800557111071365735600285E-30,True,True,True,True
high_skew,fpmm_compare_high_skew_0010,-0.0799324471722650976448658337,0.6474124101302304255200917914,0.7273448573024955231649576251,6.075803383539105863143535612E-29,1.002912449080147216728817943E-29,True,True,True,True
high_skew,fpmm_compare_high_skew_0011,-0.1326886218966466057674338971,0.9962473197442573067850386437,1.128935941640903912552472541,8E-80,8.459848191988175014118123089E-32,True,True,True,True
